Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,name
25/01/2022,36654.80469,37444.57031,35779.42969,36954.00391,26428189594,0,0,BTC,Bitcoin
26/01/2022,36950.51563,38825.41016,36374.90625,36852.12109,31324598034,0,0,BTC,Bitcoin
27/01/2022,36841.87891,37148.32422,35629.28125,37138.23438,25041426629,0,0,BTC,Bitcoin
28/01/2022,37128.44531,37952.87891,36211.10938,37784.33203,22238830523,0,0,BTC,Bitcoin
29/01/2022,37780.71484,38576.26172,37406.47266,38138.17969,17194183075,0,0,BTC,Bitcoin
30/01/2022,38151.91797,38266.33984,37437.71094,37917.60156,14643548444,0,0,BTC,Bitcoin
31/01/2022,37920.28125,38647.26172,36733.57422,38483.125,20734730465,0,0,BTC,Bitcoin
01/02/2022,38481.76563,39115.13281,38113.66406,38743.27344,20288500328,0,0,BTC,Bitcoin
02/02/2022,38743.71484,38834.61719,36832.73047,36952.98438,19155189416,0,0,BTC,Bitcoin
03/02/2022,36944.80469,37154.60156,36375.53906,37154.60156,18591534769,0,0,BTC,Bitcoin
04/02/2022,37149.26563,41527.78516,37093.62891,41500.875,29412210792,0,0,BTC,Bitcoin
05/02/2022,41501.48047,41847.16406,41038.09766,41441.16406,19652846215,0,0,BTC,Bitcoin
06/02/2022,41441.12109,42500.78516,41244.90625,42412.43359,16142097334,0,0,BTC,Bitcoin
07/02/2022,42406.78125,44401.86328,41748.15625,43840.28516,28641855926,0,0,BTC,Bitcoin
08/02/2022,43854.65234,45293.86719,42807.83594,44118.44531,33079398868,0,0,BTC,Bitcoin
09/02/2022,44096.70313,44727.80078,43232.96875,44338.79688,23245887300,0,0,BTC,Bitcoin
10/02/2022,44347.80078,45661.17188,43402.80859,43565.11328,32142048537,0,0,BTC,Bitcoin
11/02/2022,43571.12891,43810.83203,42114.53906,42407.9375,26954925781,0,0,BTC,Bitcoin
12/02/2022,42412.30078,42992.55078,41852.57422,42244.46875,18152390304,0,0,BTC,Bitcoin
13/02/2022,42236.56641,42693.05469,41950.94141,42197.51563,14741589015,0,0,BTC,Bitcoin
14/02/2022,42157.39844,42775.77734,41681.95703,42586.91797,20827783012,0,0,BTC,Bitcoin
15/02/2022,42586.46484,44667.21875,42491.03516,44575.20313,22721659051,0,0,BTC,Bitcoin
16/02/2022,44578.27734,44578.27734,43456.69141,43961.85938,19792547657,0,0,BTC,Bitcoin
17/02/2022,43937.07031,44132.97266,40249.37109,40538.01172,26246662813,0,0,BTC,Bitcoin
18/02/2022,40552.13281,40929.15234,39637.61719,40030.97656,23310007704,0,0,BTC,Bitcoin
19/02/2022,40026.02344,40418.87891,39713.05859,40122.15625,13736557863,0,0,BTC,Bitcoin
20/02/2022,40118.10156,40119.89063,38112.8125,38431.37891,18340576452,0,0,BTC,Bitcoin
21/02/2022,38423.21094,39394.4375,36950.47656,37075.28125,29280402798,0,0,BTC,Bitcoin
22/02/2022,37068.76953,38359.85547,36488.93359,38286.02734,25493150450,0,0,BTC,Bitcoin
23/02/2022,38285.28125,39122.39453,37201.81641,37296.57031,21849073843,0,0,BTC,Bitcoin
24/02/2022,37278.56641,38968.83984,34459.21875,38332.60938,46383802093,0,0,BTC,Bitcoin
25/02/2022,38333.74609,39630.32422,38111.34375,39214.21875,26545599159,0,0,BTC,Bitcoin
26/02/2022,39213.08203,40005.34766,38702.53516,39105.14844,17467554129,0,0,BTC,Bitcoin
27/02/2022,39098.69922,39778.94141,37268.97656,37709.78516,23450127612,0,0,BTC,Bitcoin
28/02/2022,37706,43760.45703,37518.21484,43193.23438,35690014104,0,0,BTC,Bitcoin
01/03/2022,43194.50391,44793.60156,42952.58594,44354.63672,32479047645,0,0,BTC,Bitcoin
30/09/2021,2852.558838,3046.519531,2840.289551,3001.678955,17661065099,0,0,ETH,Ethereum
01/10/2021,3001.129395,3329.853516,2978.654297,3307.516113,22307625573,0,0,ETH,Ethereum
02/10/2021,3308.870361,3464.837402,3260.027588,3391.694336,19202671704,0,0,ETH,Ethereum
03/10/2021,3390.767578,3484.605713,3348.120117,3418.358643,15516566862,0,0,ETH,Ethereum
04/10/2021,3418.776367,3434.775391,3283.44873,3380.089111,17747154101,0,0,ETH,Ethereum
05/10/2021,3381.784424,3541.45166,3365.817627,3518.518555,16632591670,0,0,ETH,Ethereum
06/10/2021,3516.570313,3622.55127,3354.469727,3580.562012,21855226591,0,0,ETH,Ethereum
07/10/2021,3576.814453,3650.013184,3479.90918,3587.974854,19090322927,0,0,ETH,Ethereum
08/10/2021,3587.832764,3667.95752,3547.828125,3563.759277,16222029488,0,0,ETH,Ethereum
09/10/2021,3559.997803,3628.237305,3544.640381,3575.716797,12707036942,0,0,ETH,Ethereum
10/10/2021,3575.020508,3603.244873,3414.970947,3425.852783,16171746693,0,0,ETH,Ethereum
11/10/2021,3419.726807,3622.289551,3385.761719,3545.354004,18579189588,0,0,ETH,Ethereum
12/10/2021,3546.477783,3546.477783,3407.338135,3492.573242,18109578443,0,0,ETH,Ethereum
13/10/2021,3492.753662,3607.741699,3417.602051,3606.20166,16211275589,0,0,ETH,Ethereum
14/10/2021,3604.958984,3819.258545,3590.275146,3786.01416,19443499909,0,0,ETH,Ethereum
15/10/2021,3790.154297,3895.466309,3735.363525,3862.634766,20966841512,0,0,ETH,Ethereum
16/10/2021,3865.666504,3962.453125,3805.885986,3830.38208,16578095629,0,0,ETH,Ethereum
17/10/2021,3829.858887,3914.897949,3660.723389,3847.104492,15908090346,0,0,ETH,Ethereum
18/10/2021,3847.72998,3888.209229,3686.750488,3748.760254,17386204158,0,0,ETH,Ethereum
19/10/2021,3747.162842,3883.928711,3736.780273,3877.650879,15998757133,0,0,ETH,Ethereum
20/10/2021,3877.730957,4167.472168,3833.288086,4155.992188,20338319988,0,0,ETH,Ethereum
21/10/2021,4161.713379,4366.088379,4032.483887,4054.322754,28220661820,0,0,ETH,Ethereum
22/10/2021,4055.686523,4162.975586,3908.340332,3970.181885,19432937968,0,0,ETH,Ethereum
23/10/2021,3971.356445,4171.663574,3944.631836,4171.663574,14781537792,0,0,ETH,Ethereum
24/10/2021,4171.855957,4185.729492,3967.120361,4087.903076,14978083638,0,0,ETH,Ethereum
25/10/2021,4084.425781,4236.666992,4072.034668,4217.876953,15995727040,0,0,ETH,Ethereum
26/10/2021,4217.337891,4289.131348,4106.82373,4131.102051,17157714562,0,0,ETH,Ethereum
27/10/2021,4132.17334,4299.152832,3930.257324,3930.257324,26219530404,0,0,ETH,Ethereum
28/10/2021,3924.81543,4293.150879,3905.706055,4287.318848,25958154575,0,0,ETH,Ethereum
29/10/2021,4288.686523,4455.735352,4271.70752,4414.746582,22967641914,0,0,ETH,Ethereum
30/10/2021,4414.243652,4426.848633,4252.494141,4325.650391,14615490626,0,0,ETH,Ethereum
31/10/2021,4322.744141,4394.449707,4179.016113,4288.074219,17498160238,0,0,ETH,Ethereum
01/11/2021,4288.217285,4377.322266,4160.966797,4324.626953,17985288261,0,0,ETH,Ethereum
02/11/2021,4322.500977,4599.948242,4288.686523,4584.798828,20794448222,0,0,ETH,Ethereum
03/11/2021,4589.68457,4664.910156,4462.976074,4607.193848,21220463155,0,0,ETH,Ethereum
04/11/2021,4604.678711,4606.516113,4426.622559,4537.324219,18415244464,0,0,ETH,Ethereum
05/11/2021,4537.42334,4570.895996,4447.487305,4486.243164,15086003586,0,0,ETH,Ethereum
06/11/2021,4482.647949,4530.99707,4334.973633,4521.581055,14429076700,0,0,ETH,Ethereum
07/11/2021,4523.981934,4640.921875,4510.984375,4620.554688,13541376033,0,0,ETH,Ethereum
08/11/2021,4619.649414,4822.363281,4619.649414,4812.087402,19290896267,0,0,ETH,Ethereum
09/11/2021,4810.071289,4837.589355,4718.039063,4735.068848,20834172627,0,0,ETH,Ethereum
10/11/2021,4733.362793,4859.50293,4485.093262,4636.174316,22748160545,0,0,ETH,Ethereum
11/11/2021,4635.453613,4778.059082,4580.990234,4730.384277,17933201129,0,0,ETH,Ethereum
12/11/2021,4724.306641,4808.73877,4510.92041,4667.115234,18316060208,0,0,ETH,Ethereum
13/11/2021,4666.719238,4702.115234,4582.180664,4651.460449,14457436261,0,0,ETH,Ethereum
14/11/2021,4648.632813,4689.842773,4516.935547,4626.358887,12172962219,0,0,ETH,Ethereum
15/11/2021,4627.09082,4764.63623,4546.599121,4557.503906,16275851299,0,0,ETH,Ethereum
16/11/2021,4570.478027,4891.70459,4144.334961,4216.365234,27417502801,0,0,ETH,Ethereum
17/11/2021,4213.910645,4300.306641,4107.125977,4287.59375,22183461850,0,0,ETH,Ethereum
18/11/2021,4287.802246,4343.557129,3959.227783,4000.650879,21383250893,0,0,ETH,Ethereum
19/11/2021,3995.729492,4311.713867,3982.91748,4298.306641,20626269711,0,0,ETH,Ethereum
20/11/2021,4298.350586,4434.388184,4209.242676,4409.931152,15448261277,0,0,ETH,Ethereum
21/11/2021,4412.195313,4422.491699,4255.455078,4269.73291,14094831413,0,0,ETH,Ethereum
22/11/2021,4266.509277,4302.022949,4033.572266,4088.457764,19752218877,0,0,ETH,Ethereum
23/11/2021,4089.68042,4385.483398,4069.766602,4340.763672,22133497059,0,0,ETH,Ethereum
24/11/2021,4340.036133,4376.875977,4176.183594,4239.981445,21838037128,0,0,ETH,Ethereum
25/11/2021,4271.394531,4550.518066,4249.774414,4274.743164,18705358318,0,0,ETH,Ethereum
26/11/2021,4522.208984,4550.842285,3933.506592,4030.908936,26281795488,0,0,ETH,Ethereum
27/11/2021,4042.999023,4187.684082,4033.513916,4096.912109,16515693874,0,0,ETH,Ethereum
28/11/2021,4101.648926,4297.916504,3989.969971,4294.453613,15953126340,0,0,ETH,Ethereum
29/11/2021,4296.946777,4460.848633,4284.504883,4445.10498,19086475837,0,0,ETH,Ethereum
30/11/2021,4447.768066,4753.266113,4358.074219,4631.479004,28626354111,0,0,ETH,Ethereum
01/12/2021,4623.679688,4780.732422,4530.272461,4586.990234,27634826695,0,0,ETH,Ethereum
02/12/2021,4586.333008,4628.919922,4441.507813,4511.302246,21502671027,0,0,ETH,Ethereum
03/12/2021,4514.355957,4647.289063,4100.145508,4220.706055,25879591528,0,0,ETH,Ethereum
04/12/2021,4227.762207,4242.725586,3525.494141,4119.587402,38478999182,0,0,ETH,Ethereum
05/12/2021,4119.628906,4246.92334,4040.217529,4198.322754,25533062707,0,0,ETH,Ethereum
06/12/2021,4199,4375.520508,3930.806641,4358.737305,28229518513,0,0,ETH,Ethereum
07/12/2021,4358.586914,4428.589355,4264.32373,4315.061523,22366213354,0,0,ETH,Ethereum
08/12/2021,4311.674316,4453.112305,4234.537598,4439.35791,18704315119,0,0,ETH,Ethereum
09/12/2021,4433.024902,4482.313965,4078.844238,4119.815918,22296131874,0,0,ETH,Ethereum
10/12/2021,4113.588379,4227.111816,3897.767578,3908.496094,28014595631,0,0,ETH,Ethereum
11/12/2021,3909.667725,4095.648438,3846.054443,4084.452393,19131502454,0,0,ETH,Ethereum
12/12/2021,4084.811279,4173.608887,3993.055908,4134.453125,14057603914,0,0,ETH,Ethereum
13/12/2021,4136.359863,4145.955078,3680.609131,3784.226807,23999841386,0,0,ETH,Ethereum
14/12/2021,3782.822754,3866.633789,3700.104736,3745.44043,23836759957,0,0,ETH,Ethereum
15/12/2021,3862.251465,4086.372803,3664.719971,4018.388672,26411188833,0,0,ETH,Ethereum
16/12/2021,4020.415039,4110.368652,3956.057129,3962.469727,19825531254,0,0,ETH,Ethereum
17/12/2021,3959.012451,3992.79248,3711.424561,3879.486572,23143541098,0,0,ETH,Ethereum
18/12/2021,3880.291504,3993.829834,3774.61499,3960.860107,19530895889,0,0,ETH,Ethereum
19/12/2021,3960.872314,4018.658447,3894.398682,3922.592529,16167785597,0,0,ETH,Ethereum
20/12/2021,3923.695801,3980.098633,3759.40332,3933.844482,21589690675,0,0,ETH,Ethereum
21/12/2021,3938.463867,4058.821289,3918.837891,4020.26001,16388555198,0,0,ETH,Ethereum
22/12/2021,4018.695801,4073.791504,3947.690186,3982.099609,13921756199,0,0,ETH,Ethereum
23/12/2021,3981.96167,4149.026855,3897.234375,4108.015625,18007273742,0,0,ETH,Ethereum
24/12/2021,4111.345215,4134.106445,4029.064453,4047.98291,12769090623,0,0,ETH,Ethereum
25/12/2021,4049.781982,4138.564941,4027.927002,4093.281006,10894785525,0,0,ETH,Ethereum
26/12/2021,4094.151611,4105.023926,4013.026367,4067.328125,11197244172,0,0,ETH,Ethereum
27/12/2021,4064.746338,4126.001465,4033.492432,4037.547607,11424360002,0,0,ETH,Ethereum
28/12/2021,4037.538086,4037.538086,3769.280029,3800.893066,17299472803,0,0,ETH,Ethereum
29/12/2021,3797.436279,3827.981934,3612.795898,3628.531738,15722555672,0,0,ETH,Ethereum
30/12/2021,3632.219727,3767.559814,3595.204834,3713.852051,12925377999,0,0,ETH,Ethereum
31/12/2021,3713.430176,3807.288818,3636.869873,3682.632813,14157285268,0,0,ETH,Ethereum
01/01/2022,3683.047119,3769.917969,3682.286621,3769.697021,9776191466,0,0,ETH,Ethereum
02/01/2022,3769.29834,3836.161865,3727.357422,3829.564941,9881471548,0,0,ETH,Ethereum
03/01/2022,3829.535645,3836.19873,3698.047607,3761.380371,12080777893,0,0,ETH,Ethereum
04/01/2022,3761.361572,3876.785156,3723.349854,3794.056641,14030925983,0,0,ETH,Ethereum
05/01/2022,3794.269043,3842.059814,3456.745361,3550.386963,18061338502,0,0,ETH,Ethereum
06/01/2022,3549.708984,3549.708984,3335.376709,3418.408203,24293791313,0,0,ETH,Ethereum
